RateID,CountryID,CompanyID,CodeDeckId,Code,Description,updated_at,created_at,UpdatedBy,CreatedBy,Interval1,IntervalN
1,1,1,CustomerCodedeck,93,Afghanistan-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
2,1,1,CustomerCodedeck,9375,Afghanistan-Mobile-Afghan,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
3,1,1,CustomerCodedeck,9370,Afghanistan-Mobile-AWCC,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
4,1,1,CustomerCodedeck,9377,Afghanistan-Mobile-Areeba,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
5,1,1,CustomerCodedeck,9378,Afghanistan-Mobile-Etisalat,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
6,1,1,CustomerCodedeck,937,Afghanistan Cellular-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
7,1,1,CustomerCodedeck,9379,Afghanistan Mobile Roshan,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
8,2,1,CustomerCodedeck,355,Albania-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
9,2,1,CustomerCodedeck,35568,Albania-Mobile-AMC,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
10,2,1,CustomerCodedeck,35567,Albania-Mobile-Eagle,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
11,2,1,CustomerCodedeck,35566,Albania-Mobile-Plus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
12,2,1,CustomerCodedeck,35569,Albania-Mobile-Vodafone,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
13,2,1,CustomerCodedeck,355422,Albania-Fixed-Tirana,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
14,2,1,CustomerCodedeck,355423,Albania-Fixed-Tirana,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
15,3,1,CustomerCodedeck,213,Algeria-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
16,3,1,CustomerCodedeck,2136,ALGERIA MOBILE MPTA,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
17,3,1,CustomerCodedeck,21377,Algeria-Mobile-Orascom,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
18,3,1,CustomerCodedeck,213780,Algeria Cellular-Djezzy,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
19,3,1,CustomerCodedeck,2137810,Algeria Cellular-Djezzy,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
20,3,1,CustomerCodedeck,2137811,Algeria Cellular-Djezzy,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
21,3,1,CustomerCodedeck,2137812,Algeria Cellular-Djezzy,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
22,3,1,CustomerCodedeck,2137813,Algeria Cellular-Djezzy,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
23,3,1,CustomerCodedeck,2137814,Algeria Cellular-Djezzy,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
24,3,1,CustomerCodedeck,21379,Algeria-Mobile-Orascom,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
25,3,1,CustomerCodedeck,2135,Algeria-Mobile-Ooredoo,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
26,3,1,CustomerCodedeck,21321,Algeria-Fixed-Algiers,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
28,254,1,CustomerCodedeck,684,SAMOA EASTERN ALL,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
29,4,1,CustomerCodedeck,16842,American Samoa-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
